city;city_ascii;state_name;county_name;norte-sur
Lompico;Lompico;California;Santa Cruz;norte
London;London;California;Tulare;norte
Lone Pine;Lone Pine;California;Inyo;norte
Long Barn;Long Barn;California;Tuolumne;norte
Lookout;Lookout;California;Modoc;norte
Loomis;Loomis;California;Placer;norte
Los Altos;Los Altos;California;Santa Clara;norte
Los Altos Hills;Los Altos Hills;California;Santa Clara;norte
Los Banos;Los Banos;California;Merced;norte
Los Gatos;Los Gatos;California;Santa Clara;norte
Los Molinos;Los Molinos;California;Tehama;norte
Lower Lake;Lower Lake;California;Lake;norte
Loyalton;Loyalton;California;Sierra;norte
Loyola;Loyola;California;Santa Clara;norte
Lucas Valley-Marinwood;Lucas Valley-Marinwood;California;Marin;norte
Lucerne;Lucerne;California;Lake;norte
Mabie;Mabie;California;Plumas;norte
Macdoel;Macdoel;California;Siskiyou;norte
Mad River;Mad River;California;Trinity;norte
Madera;Madera;California;Madera;norte
Madera Acres;Madera Acres;California;Madera;norte
Madison;Madison;California;Yolo;norte
Magalia;Magalia;California;Butte;norte
Malaga;Malaga;California;Fresno;norte
Mammoth Lakes;Mammoth Lakes;California;Mono;norte
Manchester;Manchester;California;Mendocino;norte
Manila;Manila;California;Humboldt;norte
Manteca;Manteca;California;San Joaquin;norte
Manton;Manton;California;Tehama;norte
Marin City;Marin City;California;Marin;norte
Marina;Marina;California;Monterey;norte
Mariposa;Mariposa;California;Mariposa;norte
Markleeville;Markleeville;California;Alpine;norte
Martell;Martell;California;Amador;norte
Martinez;Martinez;California;Contra Costa;norte
Marysville;Marysville;California;Yuba;norte
Matheny;Matheny;California;Tulare;norte
Mather;Mather;California;Sacramento;norte
Maxwell;Maxwell;California;Colusa;norte
Mayfair;Mayfair;California;Fresno;norte
Mcarthur;Mcarthur;California;Shasta;norte
McClellan Park;McClellan Park;California;Sacramento;norte
McClenney Tract;McClenney Tract;California;Tulare;norte
Mccloud;Mccloud;California;Siskiyou;norte
Mckinleyville;Mckinleyville;California;Humboldt;norte
McSwain;McSwain;California;Merced;norte
Meadow Valley;Meadow Valley;California;Plumas;norte
Meadow Vista;Meadow Vista;California;Placer;norte
Mendocino;Mendocino;California;Mendocino;norte
Mendota;Mendota;California;Fresno;norte
Menlo Park;Menlo Park;California;San Mateo;norte
Merced;Merced;California;Merced;norte
Meridian;Meridian;California;Sutter;norte
Mesa;Mesa;California;Inyo;norte
Mesa Vista;Mesa Vista;California;Alpine;norte
Middletown;Middletown;California;Lake;norte
Midpines;Midpines;California;Mariposa;norte
Milford;Milford;California;Lassen;norte
Mill Valley;Mill Valley;California;Marin;norte
Millbrae;Millbrae;California;San Mateo;norte
Millville;Millville;California;Shasta;norte
Milpitas;Milpitas;California;Santa Clara;norte
Mineral;Mineral;California;Tehama;norte
Minkler;Minkler;California;Fresno;norte
Miranda;Miranda;California;Humboldt;norte
Mi-Wuk Village;Mi-Wuk Village;California;Tuolumne;norte
Modesto;Modesto;California;Stanislaus;norte
Mohawk Vista;Mohawk Vista;California;Plumas;norte
Mokelumne Hill;Mokelumne Hill;California;Calaveras;norte
Monmouth;Monmouth;California;Fresno;norte
Mono City;Mono City;California;Mono;norte
Mono Vista;Mono Vista;California;Tuolumne;norte
Monson;Monson;California;Tulare;norte
Montague;Montague;California;Siskiyou;norte
Montalvin Manor;Montalvin Manor;California;Contra Costa;norte
Montara;Montara;California;San Mateo;norte
Monte Rio;Monte Rio;California;Sonoma;norte
Monte Sereno;Monte Sereno;California;Santa Clara;norte
Monterey;Monterey;California;Monterey;norte
Monterey Park Tract;Monterey Park Tract;California;Stanislaus;norte
Montgomery Creek;Montgomery Creek;California;Shasta;norte
Monument Hills;Monument Hills;California;Yolo;norte
Morada;Morada;California;San Joaquin;norte
Moraga;Moraga;California;Contra Costa;norte
Morgan Hill;Morgan Hill;California;Santa Clara;norte
Moss Beach;Moss Beach;California;San Mateo;norte
